"Datasheet","Image","DK Part #","Mfr Part #","Mfr","Supplier","Description","Stock","Price","@ qty","Min Qty","Package","Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4501-256-N.jpg","1772-1802-ND","4501-256-N","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 NYLON 1/4""","724","3.53","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.30mm)","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/M2140-3005-AL.JPG","1772-1104-ND","4501-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUMINUM 1/4""","949","0.98","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.30mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4501T-256-AL.JPG","1772-4051-ND","4501T-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 9/32 LENGTH","208","0.98","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.281"""" (7.14mm)","0.438"""" (11.11mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4503-440-AL.JPG","1772-3107-ND","4503T-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 13/32 LENGTH","285","0.99","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.406"""" (10.32mm)","0.563"""" (14.29mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4500-440-AL.JPG","1772-1522-ND","4500-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUM 3/16""","686","1","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.188"""" (4.78mm) 3/16","0.344"""" (8.74mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4503-256-AL.JPG","1772-1526-ND","4503-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUMINUM 3/8""","128","1","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.375"""" (9.53mm) 3/8","0.531"""" (13.50mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4501-256-AL-7.jpg","1772-1788-ND","4501-256-AL-7","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUMINUM 1/4""","857","1.01","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.30mm)","-","Aluminum","Iridite","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4504-256-AL.JPG","1772-1531-ND","4504-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUM 7/16""","834","1.01","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.438"""" (11.13mm) 7/16","0.594"""" (15.09mm)","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4503-256-AL-7.jpg","1772-1895-ND","4503-256-AL-7","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUMINUM 3/8""","487","1.03","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.375"""" (9.53mm) 3/8","0.531"""" (13.50mm)","-","Aluminum","Iridite","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4504-256-AL-7.jpg","1772-1559-ND","4504-256-AL-7","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUM 7/16""","960","1.04","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.438"""" (11.13mm) 7/16","0.594"""" (15.09mm)","-","Aluminum","Iridite","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4505-256-AL-7.jpg","1772-1973-ND","4505-256-AL-7","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 ALUMINUM 1/2""","915","1.05","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.500"""" (12.70mm) 1/2","0.656"""" (16.66mm)","-","Aluminum","Iridite","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4504-256-SS.JPG","1772-1445-ND","4504-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 7/16""","684","1.19","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.438"""" (11.13mm) 7/16","0.594"""" (15.09mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4505-256-SS.JPG","1772-1476-ND","4505-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 SS 1/2""","371","1.23","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.500"""" (12.70mm) 1/2","0.656"""" (16.66mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4500-440-AL.JPG","1772-3242-ND","4500-256-SS-20","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 3/16 LENGTH","650","1.35","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.188"""" (4.76mm)","0.344"""" (8.73mm)","-","Stainless Steel","Passivated","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4500-256-N.jpg","1772-1562-ND","4500-256-N","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 NYLON 3/16""","395","2.67","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.188"""" (4.78mm) 3/16","0.344"""" (8.74mm)","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4503-440-N.JPG","1772-1585-ND","4502-256-N","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 NYLON 5/16""","31","2.74","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.313"""" (7.95mm) 5/16","0.469"""" (11.90mm)","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4503-256-N.JPG","1772-1669-ND","4503-256-N","RAF Electronic Hardware","RAF Electronic Hardware","HEX STANDOFF #2-56 NYLON 3/8""","427","3.01","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.375"""" (9.53mm) 3/8","0.531"""" (13.50mm)","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/4501T-256-AL.JPG","1772-4010-ND","4501T-256-S-12","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 9/32 LENGTH","575","1.11","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.281"""" (7.14mm)","0.438"""" (11.11mm)","-","Steel","Chromate, Zinc","Clear"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4500T-440-SS.JPG","1772-3097-ND","4500T-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 7/32 LENGTH","823","1.49","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.219"""" (5.56mm)","0.375"""" (9.53mm) 3/8","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/photos/RAF%20Electronic%20Hardware/M2140-3005-AL.JPG","1772-3397-ND","4500T-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 7/32 LENGTH","371","3.06","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.219"""" (5.56mm)","0.375"""" (9.53mm) 3/8","-","Aluminum","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0116.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4004-256-SS.JPG","1772-2879-ND","4004-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","3/16 RD X 7/16 LENGTH","532","3.68","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.438"""" (11.11mm)","0.594"""" (15.08mm)","-","Stainless Steel","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","//media.digikey.com/Photos/RAF%20Electronic%20Hardware/4500-632-N.jpg","1772-3522-ND","4500T-256-N","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 7/32 LENGTH","200","3.78","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.219"""" (5.56mm)","0.375"""" (9.53mm) 3/8","-","Nylon","-","-"
"http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF_catalog_0121.pdf","//media.digikey.com/Photos/RAF Electronic Hardware/4504-256-N.jpg","1772-2470-ND","4504-256-N","RAF Electronic Hardware","RAF Electronic Hardware","3/16 HEX X 7/16 LENGTH","596","3.84","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.78mm) 3/16"""" Hex","0.438"""" (11.11mm)","0.594"""" (15.08mm)","-","Nylon","-","-"
"-","//media.digikey.com/Photos/RAF Electronic Hardware/4530-256-AL.jpg","1772-4530-256-AL-ND","4530-256-AL","RAF Electronic Hardware","RAF Electronic Hardware","1/4_HEX_MALE_FEMALE_STANDOFFS","618","2.11","0","1","Bulk","-","Active","Hex Standoff","Threaded","Male, Female","#2-56","-","0.250"""" (6.35mm) 1/4"""" Hex","0.250"""" (6.35mm) 1/4","0.406"""" (10.32mm)","-","Aluminum","-","-"
"-","//media.digikey.com/Photos/RAF Electronic Hardware/4001-256-B.jpg","1772-4001-256-B-ND","4001-256-B","RAF Electronic Hardware","RAF Electronic Hardware","3_16_ROUND_MALE_FEMALE_STANDOFFS","555","2.94","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.250"""" (6.35mm) 1/4","0.406"""" (10.32mm)","-","Brass","-","-"
"-","//media.digikey.com/Photos/RAF Electronic Hardware/4003-256-SS.jpg","1772-4003-256-SS-ND","4003-256-SS","RAF Electronic Hardware","RAF Electronic Hardware","3_16_ROUND_MALE_FEMALE_STANDOFFS","636","3.41","0","1","Bulk","-","Active","Round Standoff","Threaded","Male, Female","#2-56","-","0.188"""" (4.76mm)","0.375"""" (9.53mm) 3/8","0.531"""" (13.49mm)","-","Stainless Steel","-","-"
